Date,Price,Open,High,Low,Vol.,Change %
2014-03-28,558.46,559.66,564.88,557.14,41.12K,0.27%
2014-03-31,555.45,565.34,565.45,555.41,10.80K,-0.54%
2014-04-01,565.61,557.18,566.89,557.18,7.95K,1.83%
2014-04-02,565.45,598.35,603.17,560.65,147.10K,-0.03%
2014-04-03,568.18,568.29,585.67,562.59,5.10M,0.48%
2014-04-04,541.65,573.08,576.19,541.51,6.40M,-4.67%
2014-04-07,536.68,539.26,546.98,525.71,4.40M,-0.92%
2014-04-08,553.38,541.11,553.48,540.13,3.16M,3.11%
2014-04-09,562.60,558.09,563.82,551.44,3.33M,1.67%
2014-04-10,539.47,563.45,563.45,538.42,4.04M,-4.11%
2014-04-11,529.15,531.09,538.52,525.09,3.93M,-1.91%
2014-04-14,531.06,536.78,542.61,528.11,2.58M,0.36%
2014-04-15,534.97,535.35,536.98,517.04,3.86M,0.74%
2014-04-16,555.02,541.51,555.47,538.52,4.89M,3.75%
2014-04-17,534.63,547.31,548.00,529.70,6.81M,-3.67%
2014-04-21,527.17,534.63,535.23,524.16,2.57M,-1.40%
2014-04-22,533.35,527.19,535.76,526.07,2.37M,1.17%
2014-04-23,525.50,532.33,532.41,524.81,2.06M,-1.47%
2014-04-24,523.72,528.62,530.19,520.69,1.89M,-0.34%
2014-04-25,514.77,521.08,523.26,514.01,2.10M,-1.71%
2014-04-28,515.73,515.76,517.18,501.42,3.34M,0.19%
2014-04-29,526.26,515.48,528.01,514.91,2.70M,2.04%
2014-04-30,525.22,526.16,526.55,521.09,1.75M,-0.20%
2014-05-01,529.90,525.67,531.47,522.45,1.91M,0.89%
2014-05-02,526.48,532.30,532.54,524.17,1.69M,-0.65%
2014-05-05,526.36,523.38,527.45,519.89,1.02M,-0.02%
2014-05-06,513.73,523.79,525.37,513.65,1.69M,-2.40%
2014-05-07,508.56,514.38,515.27,501.92,3.22M,-1.01%
2014-05-08,509.60,507.07,515.81,505.06,2.02M,0.20%
2014-05-09,517.31,509.35,518.48,502.82,2.44M,1.51%
2014-05-12,528.47,522.08,528.74,517.59,1.91M,2.16%
2014-05-13,531.63,529.44,534.60,528.06,1.65M,0.60%
2014-05-14,525.21,531.54,531.54,523.85,1.20M,-1.21%
2014-05-15,518.56,524.26,524.43,516.00,1.71M,-1.27%
2014-05-16,519.20,519.96,520.37,514.03,1.49M,0.12%
2014-05-19,527.41,518.28,528.33,516.17,1.28M,1.58%
2014-05-20,528.32,528.29,534.76,524.86,1.79M,0.17%
2014-05-21,537.46,531.44,537.71,530.45,1.20M,1.73%
2014-05-22,543.57,539.65,546.10,539.30,1.62M,1.14%
2014-05-23,551.19,545.76,552.12,542.21,1.93M,1.40%
2014-05-27,564.40,554.48,564.45,552.83,2.11M,2.40%
2014-05-28,560.14,563.02,566.29,559.46,1.65M,-0.75%
2014-05-29,558.55,561.81,562.46,557.18,1.35M,-0.28%
2014-05-30,558.36,559.26,559.81,554.39,1.77M,-0.03%
2014-06-02,552.41,559.16,559.36,544.24,1.44M,-1.07%
